Location_ID,Museum_Name,Categories,Keywords,Description,Address,State_Name,Photo_URL,Rank,Rating,Longitude,Latitude,Families,Couples,Solo,Business,Friends
1135412,Gettysburg Heritage Center,"History Museums, Museums","cellar experience, wax museum, gift shop, ipad tour, d glasses, civil war, interesting displays, steinwehr ave, excellent museum, abe lincoln, on display, short movie, great place to visit, different perspective, free admission, whole family, hearse, video, basement, citizens","Utilizing interactive displays, historical documents, artifacts, and 3 D productions, the Gettysburg Heritage Center brings the Civil War to life. See how the great battle affected the town and learn about ordinary citizens doing extraordinary things at a tumultuous time in our countrys history.","297 Steinwehr Ave, Gettysburg, PA 17325 2815 Formerly American Civil War Museum",Pennsylvania,https://media-cdn.tripadvisor.com/media/photo-s/0e/42/68/43/gettysburg-heritage-center.jpg,13,4.54,-77.2348845,39.819678,88,86,17,2,33
23910517,Pink Palace Museum,"History Museums, Natural History Museums, Museums","imax theater, natural history, piggly wiggly store, miniature circus, traveling exhibits, tuesday afternoon, civil war, memphis history, yellow fever, free admission, interesting exhibits, gift shop, on tuesdays, spend an afternoon, all ages, few hours, whole family, on display, great place to visit, dinosaurs","The Pink Palace Museum is one of the largest facilities of its kind in the Southeast. You can walk through a replica of the first self service grocery store in the country, Clarence Saunders Piggly Wiggly. Explore the cultural and natural history of the Mid South through exciting exhibits, dioramas, and audio visuals. Trace Memphis development from the time of Spanish explorers through the Civil War and the yellow fever epidemics. Learn from the award winning medical exhibit how health care grew to be Memphis largest industry.","3050 Central Ave, Memphis, TN 38111 3316",Tennessee,https://media-cdn.tripadvisor.com/media/photo-s/28/68/b1/3d/pink-palace.jpg,17,4.18,-89.9595329,35.1248831,163,84,12,7,41
4469222,Gettysburg Seminary Ridge Museum,"Specialty Museums, Museums","cupola tour, four floors, fourth floor, medical care, african americans, field hospital, civil war, extra fee, adams county, interactive displays, different perspective, great information, short film, bedford, role, religious, cupula, story, aftermath, mannequins","Start your Gettysburg visit here, and STEP INSIDE one of the Civil Wars most historic buildings  discover inspiring stories about the first day of fighting, care of the wounded, and the larger issues of faith and freedom. Take a guided tour of the famous cupola used by Gen. John Buford, and can wander the halls and hear the floors creak. Group friendly. Family friendly. Handicap accessible except attic and cupola.","111 Seminary Rdg, Gettysburg, PA 17325 1718",Pennsylvania,https://media-cdn.tripadvisor.com/media/photo-s/1b/e9/4a/d4/start-your-gettysburg.jpg,11,4.68,-77.2444123,39.8321372,84,170,34,4,64
3314220,Oklahoma Railway Museum,"Specialty Museums, Museums","thomas the tank engine, pullman car, short train ride, train lovers, passenger cars, toy train, choo choo, kids adults, on display, volunteers, grandson, orm, rides, locomotive, playground, halloween, museum, shirts, benches, track","Come spend an afternoon at the Oklahoma Railway Museum. Theres something for everyone! Come see freight cars, passenger cars, and even a real steam engine on display. And best of all, you can ride the train! Trains operate first and third Saturdays   April to August. Were just minutes from the Interstate, so come join in the fun at the Oklahoma Railway Museum. Our museum is open every Thursday, Friday,  Saturday 900 to 500. Admission to the museum is free.","3400 NE Grand Blvd, Oklahoma City, OK 73111 4417",Oklahoma,https://media-cdn.tripadvisor.com/media/photo-s/15/ea/56/66/20181227-112356-largejpg.jpg,40,3.91,-97.4675918,35.5056216,23,8,1,1,4
104395,Ships of the Sea Maritime Museum,"Specialty Museums, Museums","model ship, amazing models, gardens are beautiful, beautiful ship, nautical history, titanic sinking, impressive collection, old mansion, on display, gift shop, self guided tour, rainy day, civil war, exhibits, scrimshaw, sailing, wheelhouse, sailors, replica, navy",This museum houses a collection of models and paintings of historic ships.,"41 Martin Luther King Jr Blvd, Savannah, GA 31401 2435",Georgia,https://media-cdn.tripadvisor.com/media/photo-s/25/94/18/3c/view-of-the-historic.jpg,23,4.4,-81.0975947,32.0810352,73,237,24,14,82
145840,LBJ Presidential Library,"Specialty Museums, Museums","vietnam war, oval office, civil rights, beatles exhibit, jackie kennedy, president johnson, great society, his life, american history, interactive exhibits, university of texas campus, lady bird johnson, on display, three floors, great exhibits, well worth the visit, couple of hours, two hours, legislation, telephone","The LBJ Presidential Library houses 45 million pages of historical documents, including 650,000 photos, one million feet of film, 2,000 oral histories, and 5,000 hours of recordings from the public career of President Lyndon B. Johnson and his close associates. In addition to permanent exhibits which tell the story of Lyndon B. Johnsons presidency, the library hosts temporary exhibits throughout the year. The Library is open every day except for Thanksgiving, Christmas, and New Years Day, 9 a.m. 5 p.m. Admission is $8 for adults, $5 for seniors 62 and older, $3 for children 13 17, and $3 for college students with valid ID. Free admission is given to children 12 and under, active military, student groups, and UT students, faculty, staff and administrators with valid ID. Free parking is available in visitor lot #38.","2313 Red River St, Austin, TX 78705 5737",Texas,https://media-cdn.tripadvisor.com/media/photo-s/0a/aa/6e/8a/lbj-presidential-library.jpg,3,4.65,-97.7291965,30.2858055,399,605,144,107,302
271400,Museum Mile,"Historic Walking Areas, Sights  Landmarks","fifth avenue, cooper hewitt, el museo del barrio, neue gallery, upper east side, great collection, central park, academy, arts, school, interests, 91st, admission, visitors",A 22 block stretch along Fifth Avenue that is filled with museums and other art institutions.,"Fifth Avenue From 82nd to 105th Streets, New York City, NY",New York,https://media-cdn.tripadvisor.com/media/photo-s/0a/e4/b2/39/museum-mile.jpg,260,4.44,-73.9382042,40.7879827,0,8,1,0,4
144319,High Museum of Art,"Specialty Museums, Museums","permanent collection, picasso to warhol, special exhibits, traveling exhibits, girl with the pearl earring, dutch masters, renzo piano, eric carle, gordon parks, nice collection, rotating exhibits, audio tour, on display, beautiful building, great exhibits, frida, louvre, sculptures, moma, vik","This stunning, porcelain enameled building was designed by famed architect Richard Meier and is rivaled only by the art inside. Featuring American, European and African art, as well as decorative art and photography, the High Museum boasts a permanent collection of over 11,000 pieces, many of which can be viewed from different levels of the four story, glass atrium. ","1280 Peachtree St NE, Atlanta, GA 30309 3549",Georgia,https://media-cdn.tripadvisor.com/media/photo-s/0f/23/81/54/museum-exterior-from.jpg,8,4.45,-84.3849351,33.7891582,290,338,112,85,258
549178,Virginia Living Museum,"Science Museums, Observatories  Planetariums, Nature  Wildlife Areas, Nature  Parks, Museums, Zoos  Aquariums","touch tank, animal exhibits, all ages, an aquarium, frog exhibit, play area, indoor and outdoor exhibits, horseshoe crabs, red wolves, love animals, hobbit house, season pass, live animals, bald eagles, hands on activities, kids and adults, great for kids, entire family, planetarium, boardwalk","View endangered red wolves. Get up close to a loggerhead turtle and moon jellies. See fish with no eyes and frogs that change colors. Touch live spider crabs and fossilized dinosaur tracks. Its all at the Virginia Living Museum, Newport News, where living exhibits depict Virginias natural heritage from the mountains to the sea. Experience a steamy cypress swamp and cool mountain cove. Explore the underwater world of the Chesapeake Bay and the underground realm of a limestone cave. See flying squirrels, stingrays and other creatures of the night. Touch famous Bay creatures. Kids will especially enjoy the Touch Tank with its sea stars and horseshoe crabs. Enjoy hands on activities. See spectacular views of the sun from the observatory and travel the universe in the state of the art digital planetarium. Outdoors, stroll the boardwalk to view coastal birds, beavers, otters, coyotes, endangered red wolves and other animals in naturalized habitats. Butterfly Garden, Virginia Garden and landscape plantings display one of the most extensive displays of native plants in Virginia. Learn how to live, build and garden green in the Conservation Garden and Green Living House.","524 J Clyde Morris Blvd, Newport News, VA 23601 1999",Virginia,https://media-cdn.tripadvisor.com/media/photo-s/0f/cc/64/f9/pondside.jpg,2,4.57,-76.4794906,37.0699397,242,54,14,5,28
3671921,Georgia State Railroad Museum,"Specialty Museums, Museums","train ride, steam engine, love trains, rolling stock, passenger cars, train lovers, rail yard, working turntable, blacksmith shop, hand cart, executive car, model trains, round houses, great for kids, self guided tour, on display, couple of hours, fort jackson, historic buildings, lots of history","Housed in the former Central of Georgia Railway Roundhouse and Repair Shops Complex at Savannah, the Georgia State Railroad Museum exhibits a collection of historic, restored rolling stock and interprets the history of railroading in the state of Georgia, offering guided tours, student programming, private tour  event bookings, and more!","655 Louisville Road, Savannah, GA 31401",Georgia,https://media-cdn.tripadvisor.com/media/photo-s/03/76/dc/d9/georgia-state-railroad.jpg,29,4.25,-81.1015065,32.0754846,135,184,22,6,32
